run,improved.competence.in.research.field,enhanced.scientific.profile,increased.scientific.competitiveness,increased.number.of.scientific.publications,improved.networking,improved.quality.of.scientific.publications,easier.access.to.leading.scientists,enabled.to.return.to.swiss.science.scene,current.position
1,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Rather accurate,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Very accurate,Rather accurate,Very accurate,Very accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,No assessment possible,NA
1,Rather accurate,Rather inaccurate,Rather inaccurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,No assessment possible,NA
1,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather accurate,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,No assessment possible,Very accurate,Very accurate,NA,No assessment possible,No assessment possible,Rather accurate,No assessment possible,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Scientific collaborator
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,NA
1,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,NA
1,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Rather inaccurate,No assessment possible,Rather inaccurate,Very accurate,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Completely inaccurate,Rather accurate,Completely inaccurate,Very accurate,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,NA
1,Rather inaccurate,Rather accurate,Rather accurate,Rather accurate,NA,Completely inaccurate,Rather inaccurate,No assessment possible,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,NA
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,NA
1,Rather accurate,Very accurate,Rather accurate,No assessment possible,No assessment possible,No assessment possible,No assessment possible,Rather accurate,NA
